number,short_description,category,subcategory,priority,state,assigned_to,assignment_group,caller_id,description,opened_at
INC0010001,Cannot login to Windows laptop,Software,Operating System,2 - High,1,arjun.mehta,TechCorp - IT Support,kavya.nair,"User reports being unable to login to their Windows laptop after a recent update. Password appears correct but login fails.",2024-01-15 09:00:00
INC0010002,Outlook not syncing emails,Software,Email,3 - Moderate,2,priya.shah,TechCorp - IT Support,kavya.nair,"Outlook on user's laptop has stopped syncing new emails since yesterday morning. Other apps working normally.",2024-01-15 10:30:00
INC0010003,VPN disconnecting every 10 minutes,Network,VPN,2 - High,2,ravi.patel,TechCorp - IT Operations,arjun.mehta,"VPN connection drops repeatedly throughout the day, affecting ability to access internal systems while working remotely.",2024-01-16 08:15:00
INC0010004,Laptop running extremely slow,Hardware,Performance,3 - Moderate,1,arjun.mehta,TechCorp - IT Support,kavya.nair,"Laptop takes 15 minutes to boot and applications lag significantly. Issue started after last Windows update.",2024-01-16 11:00:00
INC0010005,Cannot access shared drive,Network,File Share,2 - High,2,neha.joshi,TechCorp - IT Operations,vikram.rao,"User cannot access the shared network drive at \\techcorp-fs01\shared. Other users on same floor also affected.",2024-01-17 09:30:00
INC0010006,Printer offline on 3rd floor,Hardware,Printer,4 - Low,6,priya.shah,TechCorp - IT Support,arjun.mehta,"HP LaserJet on 3rd floor showing offline. Tried restarting - did not help. Other printers working.",2024-01-17 14:00:00
INC0010007,New software installation failing,Software,Installation,3 - Moderate,2,arjun.mehta,TechCorp - IT Support,ravi.patel,"Attempting to install Adobe Acrobat Pro but getting error: insufficient permissions. Need admin rights or remote install.",2024-01-18 10:00:00
INC0010008,Monitor flickering and going black,Hardware,Display,3 - Moderate,1,neha.joshi,TechCorp - IT Operations,priya.shah,"External monitor connected to docking station flickers every few minutes then goes completely black for 2-3 seconds.",2024-01-18 11:45:00
INC0010009,Production database server high CPU,Network,Server,1 - Critical,2,ravi.patel,TechCorp - IT Operations,amit.desai,"TECH-DB-01 showing 95% CPU utilisation for the past 2 hours. Causing slowness across all applications using this DB.",2024-01-19 07:00:00
INC0010010,Email phishing attempt reported,Security,Phishing,2 - High,2,vikram.rao,TechCorp - Change Management,sneha.gupta,"Received suspicious email claiming to be from IT department asking for password. Forwarded to IT for investigation.",2024-01-19 09:15:00
INC0010011,Teams audio not working in meetings,Software,Collaboration,4 - Low,2,priya.shah,TechCorp - IT Support,kavya.nair,"Microphone not working in Microsoft Teams meetings. Works in other applications. Already checked device settings.",2024-01-19 13:00:00
INC0010012,Cannot connect to corporate WiFi,Network,Wireless,3 - Moderate,1,arjun.mehta,TechCorp - IT Support,kavya.nair,"New laptop cannot connect to TECHCORP-CORP wireless network. Authentication fails with correct password.",2024-01-20 09:00:00
INC0010013,Laptop battery draining in 1 hour,Hardware,Battery,3 - Moderate,2,priya.shah,TechCorp - IT Support,neha.joshi,"MacBook Pro battery that used to last 8 hours now drains in under 1 hour. Battery health shows 42% in settings.",2024-01-20 14:30:00
INC0010014,ServiceNow portal loading slowly,Software,Application,2 - High,2,ravi.patel,TechCorp - IT Operations,amit.desai,"ServiceNow instance taking 20-30 seconds to load pages throughout the day. Checked network - no issues on other sites.",2024-01-21 10:00:00
INC0010015,Keyboard keys sticking after spill,Hardware,Physical Damage,3 - Moderate,1,arjun.mehta,TechCorp - IT Support,kavya.nair,"User accidentally spilled coffee on keyboard. Several keys now sticking. Laptop otherwise functioning normally.",2024-01-21 15:00:00
